交易日期,编号,名称,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,长期主线指数,短期主线指数,P9买入分
2026-05-15,"=""000811""",冰轮环境,短期强度Top20,中芯国际概念/超导概念,中芯国际概念,82.06,4.39,3.28,80.39,80.39,85.84,77.77,29.32
2026-05-15,"=""603629""",利通电子,短期强度Top20,OLED/英伟达概念,OLED,82.0,1.61,6.49,1.71,1.71,85.42,54.93,28.66
2026-05-15,"=""002202""",金风科技,P9买入Top20,电力设备-风电设备,电力设备-风电设备,81.35,31.84,71.28,50.87,61.0716,84.48,35.64,34.6
2026-05-15,"=""603618""",杭电股份,P9买入Top20,电力设备-电网设备,电力设备-电网设备,81.29,9.81,10.14,63.59,63.59,79.27,34.85,34.26
2026-05-15,"=""002837""",英维克,P9买入Top20,英伟达概念,英伟达概念,81.16,38.7,78.17,62.28,75.2328,86.27,43.54,31.93
2026-05-15,"=""002565""",顺灏股份,短期强度Top20,新型烟草(电子烟)/轻工制造-包装印刷,新型烟草(电子烟),81.09,33.81,19.52,60.54,61.1496,97.15,51.52,30.84
2026-05-15,"=""002851""",麦格米特,P9买入Top20,第三代半导体/英伟达概念,英伟达概念,81.06,16.77,16.07,48.06,48.06,86.27,43.54,31.93
2026-05-15,"=""002975""",博杰股份,短期强度Top20,机械设备-自动化设备/富士康概念/新型烟草(电子烟)/工业母机,机械设备-自动化设备,81.01,6.86,6.13,1.07,1.07,73.17,80.84,30.28
2026-05-15,"=""000657""",中钨高新,P9买入Top20,有色金属-小金属,有色金属-小金属,80.79,36.42,62.81,87.38,96.2816,82.79,12.44,41.34
2026-05-15,"=""603920""",世运电路,短期强度Top20,OLED,OLED,80.56,8.57,10.08,10.74,10.74,85.42,54.93,28.66
2026-05-15,"=""600330""",天通股份,短期强度Top20,电子-电子化学品Ⅱ/第三代半导体/先进封装/OLED,OLED,80.48,0.67,1.0,2.34,2.34,85.42,54.93,28.66
2026-05-15,"=""002436""",兴森科技,短期强度Top20,存储芯片/先进封装,先进封装,80.21,5.06,11.28,99.43,99.43,88.11,56.2,27.91
2026-05-15,"=""603978""",深圳新星,短期强度Top20,PVDF概念,PVDF概念,79.97,13.99,4.85,2.31,2.31,69.1,51.98,29.36
2026-05-15,"=""002979""",雷赛智能,短期强度Top20,机械设备-自动化设备/富士康概念,机械设备-自动化设备,79.44,1.51,10.71,100.0,100.0,73.17,80.84,30.28
2026-05-15,"=""000062""",深圳华强,短期强度Top20,电子-其他电子Ⅱ,电子-其他电子Ⅱ,79.4,3.08,19.65,94.65,94.65,89.43,52.06,31.52
2026-05-15,"=""603052""",可川科技,短期强度Top20,OLED,OLED,78.54,4.12,2.21,3.78,3.78,85.42,54.93,28.66
2026-05-15,"=""003031""",中瓷电子,短期强度Top20,光刻机/华为海思概念股,华为海思概念股,78.53,1.1,2.81,64.89,64.89,74.77,52.44,28.59
2026-05-15,"=""603773""",沃格光电,短期强度Top20,光刻机,光刻机,78.31,39.87,0.0,,,82.51,53.36,29.71
2026-05-15,"=""600498""",烽火通信,P9买入Top20,WiFi 6/6G概念/特高压/F5G概念,特高压,78.3,6.53,15.84,89.42,89.42,85.66,36.4,34.13
