trade_date,symbol,name,pattern_id,close,old_high_date,distance_to_old_high_pct,reason,ma_10,ma_20,ma_60,return_15d,volume_ratio_20,platform_window_days,platform_range_pct,breakout_date,distance_to_platform_high_pct,distance_to_ma20,drawdown_15d,volume_contraction_ratio,consolidation_days,consolidation_range_pct,consolidation_volume_ratio,old_high_price,days_since_old_high,max_drawdown_since_old_high,tradingview_all_rating_2026-04-03,tradingview_all_rating_2026-04-07,tradingview_all_rating_2026-04-08,tradingview_all_rating_2026-04-09,tradingview_all_rating_2026-04-10,tradingview_avg_all_rating_5d,tradingview_all_rating_label,macd_top_divergence_15d,macd_bottom_divergence_15d
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",九芝堂,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""002183""",怡亚通,2,5.75,,,"recent platform breakout on 2026-04-08, platform_range=14.68%, distance=-0.52%",5.61,5.485,5.3478,0.0952,0.8671,20.0,0.14682539682539686,2026-04-08,-0.005190311418685164,,,,,,,,,,-0.3818181818181818,0.603030303030303,0.5121212121212121,0.3757575757575757,0.3545454545454545,0.2927272727272727,buy,True,False
2026-04-10,"=""003026""",中晶科技,2,36.58,,,"recent platform breakout on 2026-03-30, platform_range=14.37%, distance=2.58%",35.617,35.1005,34.1007,0.0652,1.3241,20.0,0.1436818473380371,2026-03-30,0.02579921480650594,,,,,,,,,,-0.1333333333333333,-0.1121212121212121,0.5575757575757576,0.3757575757575757,0.603030303030303,0.2581818181818182,strong_buy,False,True
